question_number,question,category,,,,,,,,
1,What documents do I need to submit to apply as a freshman?,direct,,,,,,,,
2,"I'm a transferee from another uni, what papers do I need?",paraphrased,,,,,,,,
3,My EARISTCAT score for BS Civil Engineering was 82%. Did I get in?,scenario,,,,,,,,
4,"Admission is first-come-first-served, right? So my EARISTCAT score doesn't really matter?",adversarial,,,,,,,,
5,What's the deadline for freshman applications for the next school year?,unanswerable,,,,,,,,
6,I'm applying for BS Architecture. Is there any other test besides the main entrance exam?,scenario,,,,,,,,
7,What's the maximum number of units I can enroll in per semester?,direct,,,,,,,,
8,"I'm a regular student, can I enroll in just 6 units this semester because I have a part-time job?",scenario,,,,,,,,
9,Can I enroll in two different colleges at EARIST at the same time to get two degrees?,adversarial,,,,,,,,
10,How much is the tuition fee per unit?,unanswerable,,,,,,,,
11,My required subject isn't offered this sem. Can I just take it at another school?,paraphrased,,,,,,,,
12,What's the official process for dropping a subject?,direct,,,,,,,,
13,I failed my 'Intro to Programming' major. Can I just substitute it with 'Web Development 1'?,scenario,,,,,,,,
14,How many absences am I allowed before I get dropped from a class?,direct,,,,,,,,
15,How late can I be to class before I'm marked absent?,paraphrased,,,,,,,,
16,I've been late three times. Does that equal one absence?,adversarial,,,,,,,,
17,I was sick and missed my midterms. What should I do to get an excused absence?,scenario,,,,,,,,
18,What's the minimum passing grade?,direct,,,,,,,,
19,I got a 2.50 in a subject. What does that mean?,paraphrased,,,,,,,,
20,My prof gave me an INC last sem. How long do I have to fix it before it becomes a 5.0?,scenario,,,,,,,,
21,I passed my class with a 3.0 but I want to improve it. Can I retake the exam?,adversarial,,,,,,,,
22,"What's the grading breakdown? like how many percent for quizzes, midterms, and finals?",unanswerable,,,,,,,,
23,"My prof, who gave me an INC, is on leave and I can't contact him. How do I get my grade completed?",scenario,,,,,,,,
24,What happens if I fail 3 subjects in one semester?,direct,,,,,,,,
25,My friend is on academic probation. How does he get out of it?,paraphrased,,,,,,,,
26,I'm a freshman and I failed 2 subjects in my first sem. Am I getting kicked out?,scenario,,,,,,,,
27,This is my third time taking the same subject. What happens if I fail it again?,scenario,,,,,,,,
28,"I failed 2 subjects, and I also have an INC. Does the INC count towards the 3-failure rule for dismissal?",adversarial,,,,,,,,
29,What's the maximum time I can take for a leave of absence (LOA)?,direct,,,,,,,,
30,I'm in a 4-year degree program. What's the maximum number of years I'm allowed to stay in the college to finish it?,scenario,,,,,,,,
31,I'm a working student in a 4-year course. Do I also have a 5-year maximum tenure like regular students?,adversarial,,,,,,,,
32,What's the GWA range to graduate Cum Laude?,direct,,,,,,,,
33,I'm a transferee. Can I still graduate with honors?,scenario,,,,,,,,
34,I'm aiming for Cum Laude and my GWA is 1.7. But I failed one subject in my first year. Am I still eligible?,scenario,,,,,,,,
35,"For graduating with honors, do they include PE and NSTP grades in the GWA computation?",adversarial,,,,,,,,
36,What is the 'Student Assistance' program?,direct,,,,,,,,
37,What are the requirements to become a student assistant (SA)?,paraphrased,,,,,,,,
38,Can I be a recipient of the Tulong Dunong Program and another government scholarship at the same time?,adversarial,,,,,,,,
39,Where is the office for submitting DOST scholarship applications?,unanswerable,,,,,,,,
40,My father works at EARIST. Can I get a scholarship?,scenario,,,,,,,,
41,What's the required haircut for guys?,direct,,,,,,,,
42,When are we allowed to wear 'civilian' clothes or non-uniform?,paraphrased,,,,,,,,
43,I lost my ID again. This is the second time. What's the penalty?,scenario,,,,,,,,
44,I lost my ID for the third time... is that still just a minor offense?,adversarial,,,,,,,,
45,What does the school uniform look like? What's the color?,unanswerable,,,,,,,,
